iter	Passed	Remaining
854	6828	1157
855	6836	1150
856	6842	1141
857	6849	1133
858	6855	1125
859	6861	1116
860	6867	1108
861	6872	1100
862	6878	1091
863	6886	1083
864	6891	1075
865	6898	1067
866	6905	1059
867	6911	1051
868	6918	1042
869	6925	1034
870	6931	1026
871	6936	1018
872	6942	1010
873	6948	1001
874	6954	993
875	6962	985
876	6970	977
877	6977	969
878	6982	961
879	6989	953
880	6993	944
881	7003	937
882	7011	929
883	7020	921
884	7031	913
885	7044	906
886	7057	899
887	7068	891
888	7077	883
889	7085	875
890	7097	868
891	7107	860
892	7117	852
893	7124	844
894	7131	836
895	7139	828
896	7152	821
897	7160	813
898	7171	805
899	7177	797
900	7186	789
901	7196	781
902	7210	774
903	7217	766
904	7225	758
905	7234	750
906	7240	742
907	7249	734
908	7256	726
909	7266	718
910	7280	711
911	7288	703
912	7297	695
913	7303	687
914	7309	679
915	7315	670
916	7319	662
917	7329	654
918	7337	646
919	7344	638
920	7352	630
921	7361	622
922	7367	614
923	7375	606
924	7382	598
925	7388	590
926	7393	582
927	7399	574
928	7407	566
929	7415	558
930	7422	550
931	7426	541
932	7436	534
933	7443	525
934	7450	517
935	7454	509
936	7459	501
937	7467	493
938	7476	485
939	7483	477
940	7490	469
941	7497	461
942	7506	453
943	7512	445
944	7518	437
945	7527	429
946	7533	421
947	7539	413
948	7546	405
949	7552	397
950	7561	389
951	7569	381
952	7577	373
953	7584	365
954	7590	357
955	7596	349
956	7602	341
957	7611	333
958	7618	325
959	7623	317
960	7629	309
961	7636	301
962	7648	293
963	7655	285
964	7662	277
965	7669	269
966	7679	262
967	7684	254
968	7692	246
969	7699	238
970	7710	230
971	7714	222
972	7722	214
973	7728	206
974	7735	198
975	7742	190
976	7748	182
977	7756	174
978	7763	166
979	7769	158
980	7776	150
981	7784	142
982	7791	134
983	7798	126
984	7807	118
985	7814	110
986	7818	102
987	7823	95
988	7830	87
989	7838	79
990	7846	71
991	7852	63
992	7857	55
993	7864	47
994	7873	39
995	7879	31
996	7884	23
997	7892	15
998	7900	7
999	7905	0
